HUCID,basin_group_id,site_no_raw,site_no,role
17010102,17010102,US12302055,12302055,out
17010201,17010201,US12324680,12324680,out
17010202,17010202,US12324680,12324680,in
17010202,17010202,US12334550,12334550,out
17010203,17010203,US12372000,12372000,in
17010203,17010203,US12340000,12340000,out
17010205,17010205,US12352500,12352500,out
17010207,17010207,US12358500,12358500,out
17010209,17010209,US12362500,12362500,out
17010211,17010211,US12370000,12370000,out
17010212,17010212,US12372000,12372000,in
17010212,17010212,US12388700,12388700,out
17010301,17010301,US12413000,12413000,out
17010302,17010302,US12413470,12413470,out
17010304,17010304,US12415135,12415135,out
17010305,17010305,US12422500,12422500,out
17010306,17010306,US12424000,12424000,out
17010308,17010308,US12431500,12431500,out
17020003,17020003,US12409000,12409000,out
17020004,17020004,US12434590,12434590,out
17020009,17020009,US12452550,12452550,out
17020011,17020011,US12462500,12462500,out
17040101,17040101,US13013650,13013650,out
17040102,17040102,US13015000,13015000,out
17040105,17040105,US13027500,13027500,out
17040201,17040201,US13058529,13058529,out
17040202,17040202,US13046000,13046000,out
17040204,17040204,US13055250,13055250,out
17040204,17040204,US13055340,13055340,out
17040205,17040205,US13058000,13058000,out
17040213,17040213,US13108150,13108150,out
17060202,17060202,US13302005,13302005,out
17060204,17060204,US13305310,13305310,out
17060206,17060206,US13310199,13310199,out
17060210,17060210,US13316500,13316500,out
17060302,17060302,US13336500,13336500,out
17060303,17060303,US13337000,13337000,out
17060305,17060305,US13338500,13338500,out
17060306,17060306,US13342500,13342500,out
17060307,17060307,US13340600,13340600,out
17070102,17070102,US14018500,14018500,out
17070103,17070103,US14033500,14033500,out
17070106,17070106,US14113000,14113000,out
17070202,17070202,US14046000,14046000,out
17070203,17070203,US14044000,14044000,out
17070204,17070204,US14048000,14048000,out
17070305,17070305,US14087400,14087400,out
17070306,17070306,US14103000,14103000,out
17080002,17080002,US14220500,14220500,out
17080002,17080002,US14222500,14222500,out
17080004,17080004,US14233500,14233500,out
17090001,17090001,US14152000,14152000,out
17090002,17090002,US14157500,14157500,out
17090004,17090004,US14165500,14165500,out
17090009,17090009,US14200000,14200000,out
17090009,17090009,US14202000,14202000,out
17090010,17090010,US14207500,14207500,out
17090011,17090011,US14211010,14211010,out
17100103,17100103,US12031000,12031000,out
17100301,17100301,US14319500,14319500,out
17100309,17100309,US14369500,14369500,out
17100311,17100311,US14378200,14378200,out
17110006,17110006,US12189500,12189500,out
17110016,17110016,US12080010,12080010,out
18010104,18010104,US11473900,11473900,out
18010201,18010201,US11501000,11501000,in
18010201,18010201,US11502500,11502500,out
18010202,18010202,US11501000,11501000,out
18010207,18010207,US11517500,11517500,out
18010208,18010208,US11519500,11519500,out
18010210,18010210,US11522500,11522500,out
18020125,18020125,US11421000,11421000,out
18020151,18020151,US11374000,11374000,out
18020152,18020152,US11376000,11376000,out
18020153,18020153,US11376550,11376550,out
18020162,18020162,US11454000,11454000,out
18040006,18040006,US11251000,11251000,out
18040014,18040014,US11255575,11255575,out
18090202,18090202,US10251330,10251330,out
18100204,18100204,US09527700,09527700,in
18100204,18100204,US10259540,10259540,in
18060004,merge_1,US11152500,11152500,out
18060005,merge_1,US11152500,11152500,out
18010211,merge_2,US11530000,11530000,out
18010212,merge_2,US11530000,11530000,out
17090005,merge_3,US14189000,14189000,out
17090006,merge_3,US14189000,14189000,out
17040219,merge_4,US13152500,13152500,out
17040220,merge_4,US13152500,13152500,out
17040221,merge_4,US13152500,13152500,out
17040209,merge_5,US13077000,13077000,in
17040209,merge_5,US13087995,13087995,out
17040210,merge_5,US13154500,13154500,out
18070202,merge_6,US11078000,11078000,out
18070203,merge_6,US11078000,11078000,out
